symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,abs_spearman_t
AG,制造业采购经理指数PMI_新出口订单,level,H3,119,-0.3858721438381197,-4.5242373168911,1.4641498581276331e-05,-0.5119394392869754,-6.446254745417406,2.6695441951753578e-09,-0.5210438515523627,-0.318258362471558,True,True,6.446254745417406
AG,制造业采购经理指数PMI_购进价格,level,H3,119,-0.41863051587851824,-4.98612370258553,2.1584276813712362e-06,-0.47042736566337845,-5.76634938214056,6.722002046455365e-08,-0.35376297323520817,-0.41963988060801105,True,True,5.76634938214056
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,H3,32,-0.6983461197172661,-5.3439672998314585,8.818962930474298e-06,-0.7133431085043987,-5.575139423622369,4.594943429254859e-06,0.07647058823529412,-0.7794117647058825,False,True,5.575139423622369
AL,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,H3,122,-0.2306006834696493,-2.596072035853309,0.010607042671380865,-0.36570080328203586,-4.304192378873854,3.440948914629479e-05,-0.5035035301477234,-0.25469016506673603,True,True,4.304192378873854
AL,PPI_交通运输设备制造业(全国:当期同比增长率:月),level,H3,122,-0.24312089969235118,-2.745636101661386,0.006968943590023265,-0.317045940419297,-3.661985431807567,0.00037356707220928813,-0.395797922005618,-0.24161463287920387,True,False,3.661985431807567
AL,制造业采购经理指数PMI_购进价格,level,H3,122,-0.18202231685742828,-2.0278307078500917,0.044792182675910154,-0.2357521003801831,-2.657439512833662,0.00894587995659696,-0.25701441451693313,-0.23769104692395843,True,True,2.657439512833662
AU,社会融资规模存量_同比增速_月末数,level,H3,81,-0.7276651669487749,-9.428958977855926,1.4171197974227269e-14,-0.7749514116492742,-10.898246791798943,2.0737627739698376e-17,-0.5967882724163263,-0.38601633392980417,True,True,10.898246791798943
AU,制造业采购经理指数PMI_购进价格,level,H3,120,-0.4346475624224059,-5.242591332200541,7.036925344918277e-07,-0.49805705622064206,-6.239197696895917,7.115709601296291e-09,-0.45674587074220996,-0.5023896862265157,True,True,6.239197696895917
AU,制造业采购经理指数PMI_当月,level,H3,120,-0.24502488273605974,-2.7453382369834562,0.006991175550364062,-0.47972648885759533,-5.9392023407667835,2.9586215508063382e-08,-0.4788421222249072,-0.2316280119074862,True,True,5.9392023407667835
C,PPIRM_农副产品类(全国:当期同比增长率:月),level,H3,120,0.46575370445377806,5.71736687981591,8.29955270894778e-08,0.4250250051758039,5.100582346598937,1.3072695322871306e-06,0.5702176326904087,0.22897040574971578,True,True,5.100582346598937
C,CPI_翘尾因素_当月,level,H3,29,0.7102052713507448,5.2419927076901045,1.5904571690684727e-05,0.6670750501649527,4.652708372792963,7.745213527468715e-05,0.42464272120673824,0.42916625387999435,True,True,4.652708372792963
C,PPI_农副食品加工业(全国:当期同比增长率:月),level,H3,120,0.48482683676784744,6.021617084928768,2.006896438696573e-08,0.37521292393061734,4.3971147692458405,2.415350552825533e-05,0.4092728795551207,0.2534737685652195,True,True,4.3971147692458405
CF,PPI_纺织业(全国:当期同比增长率:月),level,H3,115,-0.5187559905921406,-6.450237065294344,2.867274793107169e-09,-0.5317025244437027,-6.673594608443329,9.693879787447427e-10,-0.4971142043855304,-0.4348856320174976,True,True,6.673594608443329
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),level,H3,40,-0.7828047724788662,-7.754757651215462,2.3990735144875274e-09,-0.7291933035806648,-6.568754001137728,9.479735192540843e-08,0.10574126705247479,-0.5758377776672502,False,True,6.568754001137728
CF,制造业采购经理指数PMI_进口,zscore,H3,102,0.32299688884243233,3.4129002521487206,0.0009292203570547847,0.49724909669721973,5.731265706520149,1.0580277348926764e-07,0.4954751131221719,0.48642533936651583,True,True,5.731265706520149
CU,PPI_通用设备制造业(全国:当期同比增长率:月),level,H3,123,-0.2597595267797188,-2.9589248181478625,0.003714578152018907,-0.23604245304734625,-2.6719695102112464,0.008579830694712574,-0.33064256254626984,-0.19506180401320836,True,True,2.6719695102112464
CU,PPI_全部工业品(全国:当期同比增长率:月),level,H3,123,-0.22611620316848405,-2.5534107170082367,0.011909836284876848,-0.23220555103648288,-2.626039282681049,0.00975442262936951,-0.32112581889424635,-0.15216738514748515,True,True,2.626039282681049
CU,PPI_有色金属冶炼及压延加工业(全国:当期同比增长率:月),level,H3,123,-0.20780855330368858,-2.336909958035505,0.021087461120090578,-0.2075549271938289,-2.3339293257383287,0.02124864953913512,-0.17074557475321708,-0.23575925467057446,True,True,2.3339293257383287
I,PPI_黑色金属矿采选业(全国:当期同比增长率:月),level,H3,116,-0.004310439872484806,-0.04602333137544292,0.9633721787078704,-0.3053076508277851,-3.4232405152476177,0.0008604004819231506,0.2260093826908128,-0.5447749725756728,False,True,3.4232405152476177
I,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),level,H3,116,0.08923778542376634,0.9566153783859739,0.340785686575087,0.2825526614777773,3.1449895778072965,0.0021184528455785306,0.49633172868352804,0.2029284198222031,True,True,3.1449895778072965
I,PPIRM_黑色金属材料类(全国:当期同比增长率:月),diff,H3,115,-0.10633416882137059,-1.1367928227702275,0.25802986327891414,-0.2694852736689523,-2.97471893662111,0.003586407263257783,0.0656035270650576,-0.504891406813977,False,True,2.97471893662111
J,PPIRM_黑色金属材料类(全国:当期同比增长率:月),level,H3,115,0.45616559644936316,5.4490780398225525,3.000784815083439e-07,0.4888110286991188,5.9562057479557415,2.980468292994338e-08,0.48254514263765796,0.20861085168074545,True,True,5.9562057479557415
J,制造业采购经理指数PMI_新订单,level,H3,115,0.042725813701163615,0.45459675123202214,0.6502714611996425,0.4512362119676016,5.375036163536649,4.166901294299933e-07,0.4438427596241957,0.33451303304633656,True,True,5.375036163536649
J,非制造业PMI_建筑业_全国_当期值_月,level,H3,89,0.18374472830799365,1.7435422897018067,0.08477148337220124,0.4671650447637908,4.92826583818977,3.926947278819143e-06,0.0037391111988395636,0.3109061124283752,True,True,4.92826583818977
JD,对CPI同比拉动_食品_粮食(全国:当期同比增长率:月),level,H3,104,0.3001959720939727,3.1784275728724025,0.0019605145822841445,0.29747320234476454,3.1467865753938824,0.002164232839958994,0.4453600607773703,0.31098244022253074,True,True,3.1467865753938824
JD,居民粮食消费价格指数CPI_(上年=100)_当月,diff,H3,129,-0.014568917262876863,-0.16420078632644086,0.8698341246253976,-0.25998908480490546,-3.0342720837637165,0.002925010181313484,-0.3070195524991601,-0.2469476204637052,True,True,3.0342720837637165
JD,PPIRM_农副产品类(全国:当期同比增长率:月),zscore,H3,110,-0.3013054806524071,-3.2838673931418367,0.0013805045977838017,-0.24730067849333903,-2.652411144912621,0.009196232244227099,-0.7275613275613277,0.29430014430014434,False,True,2.652411144912621
M,PPIRM_农副产品类(全国:当期同比增长率:月),level,H3,115,0.252718466299379,2.7765617345475175,0.0064325510597253435,0.5218012349232538,6.502212117745051,2.2308038811066317e-09,0.5453853070240459,0.6461983394121896,True,False,6.502212117745051
M,PPI_农副食品加工业(全国:当期同比增长率:月),level,H3,115,0.216364207642035,2.355785217030484,0.020206981750266726,0.4656432694780387,5.593231189210651,1.5730054167802286e-07,0.3598210586350509,0.5966434469407536,True,True,5.593231189210651
M,PPI_食品制造业(全国:当期同比增长率:月),level,H3,115,0.22758966873673678,2.4845120992469836,0.014438815505821021,0.4320400837936147,5.092450696426052,1.4262081341252595e-06,0.20142978822971935,0.6753111758819319,True,False,5.092450696426052
MA,PPI_石油加工、炼焦及核燃料加工业(全国:当期同比增长率:月),level,H3,116,-0.35353475927494177,-4.035313214095596,9.903602331694544e-05,-0.4096560155030886,-4.794713001757902,4.96165715367885e-06,-0.3669809434889674,-0.5002076380615339,True,True,4.794713001757902
MA,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,H3,116,-0.3044494733104783,-3.41263373779253,0.0008913289026544865,-0.3983392441343976,-4.636853823548085,9.489444738188054e-06,-0.279961855675712,-0.5390531272738591,True,True,4.636853823548085
MA,PPIRM_化工原料类(全国:当期同比增长率:月),zscore,H3,103,0.31207976609111765,3.3012402973765473,0.0013312472491351453,0.3577525967389181,3.850188407989623,0.00020721373058807922,0.46163940372457024,0.08136258857679501,True,True,3.850188407989623
NI,PPI_汽车制造业(全国:当期同比增长率:月),zscore,H3,108,0.3710382235207922,4.113719512153194,7.712960354773025e-05,0.3363819105052063,3.6775718239599535,0.00037167812066524734,0.29384410139127115,0.3007051648561082,True,True,3.6775718239599535
NI,PPI_金属制品业(全国:当期同比增长率:月),level,H3,121,0.14313651236201522,1.5776804533182671,0.11729370941850763,0.24532341741112507,2.7605204713462026,0.006685396228860851,0.060367711960720105,0.41879421262549427,True,False,2.7605204713462026
NI,国内生产总值GDP_累计同比,level,H3,41,0.1780847907040609,1.1302053287993357,0.265292842800559,0.3868500824849792,2.6198528681728104,0.012469321988203453,0.3793799663063226,0.3599098175867821,True,True,2.6198528681728104
P,居民食品消费价格指数CPI_(上年=100)_当月,level,H3,106,-0.09222762164234796,-0.9445666749410161,0.34706943034944826,-0.5578974449637739,-6.855515185355,5.204744452672575e-10,-0.7340363508962422,-0.33073186931829296,True,True,6.855515185355
P,PPI_全部工业品(全国:当期同比增长率:月),zscore,H3,103,0.06749259184916598,0.679842346735241,0.4981595549406163,0.4880617669024294,5.619739867271484,1.7001535408519846e-07,0.4212669683257919,0.676598651071459,True,True,5.619739867271484
P,PPI_食品制造业(全国:当期同比增长率:月),zscore,H3,103,0.07830772600632878,0.7894069897130074,0.43172345895848196,0.4198875913987827,4.649547275557415,1.0089748845884724e-05,0.5706787330316743,0.269364581393667,True,True,4.649547275557415
RB,非制造业PMI_建筑业_全国_当期值_月,level,H3,90,0.2994275102244215,2.9439502531118342,0.00414381485266159,0.5497628927625365,6.17395539288627,1.999221370054071e-08,0.16940890513808157,0.17133444093127922,True,True,6.17395539288627
RB,非制造业PMI_建筑业_新订单_全国_当期值_月,level,H3,90,0.3710447842446076,3.7482796513470893,0.0003179089458249734,0.5267105233024892,5.81261499202871,9.682434470339838e-08,0.23379790820655172,0.0922002259441734,True,True,5.81261499202871
RB,PPI_非金属矿物制品业(全国:当期同比增长率:月),level,H3,116,0.07660891499969716,0.8203702689340868,0.4137171231472352,0.4767147946693104,5.790199331714422,6.31470170934483e-08,0.05651612176145382,0.2292509637518608,True,False,5.790199331714422
RU,PPI_橡胶和塑料制品业(全国:当期同比增长率:月),level,H3,115,-0.6225300974840822,-8.455942664756854,1.1072429887677742e-13,-0.6840066862339692,-9.967556735520075,3.5926110032840246e-17,-0.7565246063823163,-0.6744880640214067,True,True,9.967556735520075
RU,PPI_化学原料及化学制品制造业(全国:当期同比增长率:月),level,H3,115,-0.5509590557450533,-7.018033060175886,1.770593038234975e-10,-0.6791601914112853,-9.836061934134971,7.263619119210381e-17,-0.8047717306747952,-0.626901724284553,True,True,9.836061934134971
RU,PPIRM_化工原料类(全国:当期同比增长率:月),level,H3,115,-0.5617347700612675,-7.2176925741706865,6.516555002945819e-11,-0.6586902810287482,-9.306009673355709,1.231968643553641e-15,-0.7794758846672709,-0.6141195797956199,True,True,9.306009673355709
SA,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,H3,64,0.5108646038260747,4.679229414535211,1.6087381771383858e-05,0.6143876338303724,6.131389743105095,6.666610485363068e-08,0.4130913369053862,0.4642890375080103,True,False,6.131389743105095
SA,非制造业PMI_建筑业_新订单_全国_当期值_月,level,H3,65,0.4719584497221437,4.249053667185753,7.219994090894397e-05,0.5396662447905037,5.08798502071746,3.5006944722544013e-06,0.2733522882719553,0.4675087702183038,True,False,5.08798502071746
SA,非制造业PMI_建筑业_全国_当期值_月,level,H3,65,0.4293750231189893,3.7736235138849845,0.00035815753233152734,0.5111810816930202,4.720769443024937,1.3532636351086956e-05,0.3162723766762862,0.36663047589132747,True,False,4.720769443024937
SC,PPI_煤炭开采和洗选业(全国:当期同比增长率:月),zscore,H3,83,0.3158196717794963,2.995699233641781,0.0036322612806871137,0.34515763402040206,3.30982489310934,0.0013951054112726255,0.44390243902439036,0.09423871647354347,True,False,3.30982489310934
SC,CPI-PPI_差值_当月,level,H3,76,-0.3138593181648109,-2.8436089284405264,0.005763334630442129,-0.31983372306366736,-2.9038418182965193,0.004856225711304447,-0.4666484331002239,0.15638786829145307,False,True,2.9038418182965193
SC,PPIRM_化工原料类(全国:当期同比增长率:月),zscore,H3,83,0.33936077704917794,3.2469319704611737,0.001697962166286626,0.27251164938499645,2.5490812394719087,0.012687832739134909,0.413240418118467,0.018231909893849773,True,False,2.5490812394719087
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,H3,32,0.4690274621855857,2.908760152827223,0.006771015710597927,0.749633431085044,6.203658328484701,7.901821663980666e-07,0.27941176470588236,0.6176470588235293,True,True,6.203658328484701
SN,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,H3,40,0.30272707826402273,1.9580101893756643,0.05760083889969999,0.5146211085393888,3.6998741250443166,0.0006803339598819303,0.029345380767795817,0.5259998370191479,True,True,3.6998741250443166
SN,PPI_通信设备、计算机及其他电子设备制造业工业品出厂价格指数PPI_(上年=100)_当月,diff,H3,82,0.2839254543275907,2.6485019701683403,0.009737432283117069,0.3796006311635086,3.6699449814436,0.00043598894284660954,0.4057789445712776,0.3201155851732323,True,True,3.6699449814436
SR,居民食品消费价格指数CPI_(上年=100)_当月,level,H3,106,0.2257055820252584,2.362723078711578,0.020000824440709764,0.441254943674142,5.014515776018461,2.1966243553773568e-06,0.22537654041416788,0.6389449579941627,True,True,5.014515776018461
SR,PPI_食品制造业(全国:当期同比增长率:月),diff,H3,114,-0.3401573446753366,-3.8281661179870183,0.00021313727821586386,-0.3124709004411954,-3.481193840944675,0.0007126283831861486,-0.2337642533926033,-0.43125324294694894,True,True,3.481193840944675
SR,PPI_酒、饮料和精制茶制造业(全国:当期同比增长率:月),zscore,H3,102,-0.29218141895329525,-3.0551312211270942,0.0028840778002054536,-0.3087918891957798,-3.246580488307212,0.0015898856311746376,-0.7102875632488316,0.16606334841628959,False,False,3.246580488307212
TA,PMI_生产经营活动预期_全国_当期值_月,level,H3,90,0.37918956111190033,3.8442021993546085,0.00022810317623588738,0.3579110584678271,3.595697892019434,0.0005332749137841878,0.7468023315930048,-0.4258492027114729,False,True,3.595697892019434
TA,制造业采购经理指数PMI_原材料库存,level,H3,114,0.24397641257940364,2.6624600931472386,0.008899206463788764,0.3155020563469846,3.5186767063831628,0.0006278658863590376,0.5567604315037898,0.01629198226927908,True,True,3.5186767063831628
TA,制造业采购经理指数PMI_生产,level,H3,115,0.2322063692978014,2.53775313277925,0.012519075754619987,0.3092725941392582,3.457102660914642,0.0007704540114493796,0.6566681360037633,0.08345914372004243,True,True,3.457102660914642
TF,CPI_翘尾因素_当月,level,H3,29,-0.7347351633218656,-5.628028321020848,5.668099623786339e-06,-0.6785763441333139,-4.800330400034467,5.2089792810111806e-05,-0.7788783591045872,-0.15811388300841897,True,True,4.800330400034467
TF,CPI-PPI_差值_当月,zscore,H3,59,-0.38315185739456764,-3.1317299108411794,0.0027418315605661128,-0.4281184705084489,-3.5765659693548693,0.000718232873306504,-0.5645320197044333,-0.42741128309869053,True,True,3.5765659693548693
TF,CPI-PPI_差值_当月,level,H3,72,-0.33103238678778923,-2.9350982775471612,0.0045071958352820764,-0.3656012226510867,-3.2863479410312277,0.001588380876107799,-0.4178143939876231,-0.10839869368511953,True,True,3.2863479410312277
V,非制造业PMI_建筑业_业务活动预期_全国_当期值_月,level,H3,88,0.3706528642257963,3.7009031249252478,0.00037823626308165146,0.5446330425191247,6.022264061136308,4.1242052653014475e-08,0.19413303394902948,0.23050896165179527,True,True,6.022264061136308
V,非制造业PMI_建筑业_全国_当期值_月,level,H3,89,0.22670428131922357,2.171083890155073,0.032647708405147524,0.5417919127102565,6.012400297964884,4.182111105893148e-08,0.13347921487178216,0.2426359275034501,True,True,6.012400297964884
V,制造业采购经理指数PMI_生产,level,H3,115,0.17335789874255578,1.8711510396965956,0.06391071077919633,0.45067682242468954,5.366673167204611,4.3236655887261954e-07,0.02724000853207095,0.30618581882733087,True,True,5.366673167204611
Y,居民食品消费价格指数CPI_(上年=100)_当月,zscore,H3,105,-0.09743739508931075,-0.9936094928148131,0.3227415403698168,-0.4138606676342525,-4.61390902700815,1.141456792425622e-05,-0.4314010074276445,-0.4105789388808257,True,True,4.61390902700815
Y,PPI_全部工业品(全国:当期同比增长率:月),level,H3,115,-0.2764283437623889,-3.0576150019644013,0.002785406000222727,-0.3884485624573658,-4.4811692488004615,1.7879183282320655e-05,-0.7617010278533586,0.030077280822814294,False,True,4.4811692488004615
Y,制造业采购经理指数PMI_进口,level,H3,115,-0.26005255654643156,-2.862896070471694,0.0050044376406866,-0.30203849671851907,-3.368013895650181,0.00103590684537811,-0.681992920231199,0.3865075039398961,False,True,3.368013895650181
