factor,info_date,start_date,end_date,value,rice_create_tm
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-01-12,2021-11-30,2021-12-31,19.0,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-02-16,2021-12-31,2022-01-31,17.4166,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-03-09,2022-01-31,2022-02-28,17.5,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-04-11,2022-02-28,2022-03-31,15.6,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-05-11,2022-03-31,2022-04-30,14.2,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-06-10,2022-04-30,2022-05-31,9.5,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-07-09,2022-05-31,2022-06-30,7.6,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-08-10,2022-06-30,2022-07-31,2.8,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-09-09,2022-07-31,2022-08-31,-0.6,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-10-14,2022-08-31,2022-09-30,-2.8838,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-11-09,2022-09-30,2022-10-31,-4.9,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2022-12-09,2022-10-31,2022-11-30,-4.1,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-01-12,2022-11-30,2022-12-31,-1.9,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-02-10,2022-12-31,2023-01-31,-1.8,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-03-09,2023-01-31,2023-02-28,-2.2,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-04-11,2023-02-28,2023-03-31,-3.5,2023-05-06 20:25:46
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-05-11,2023-03-31,2023-04-30,-4.5,2023-05-11 11:25:17
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-06-09,2023-04-30,2023-05-31,-5.3,2023-06-09 11:25:19
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-07-10,2023-05-31,2023-06-30,-4.9,2023-07-10 11:25:21
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-08-09,2023-06-30,2023-07-31,-0.1,2023-08-09 11:24:52
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-09-09,2023-07-31,2023-08-31,2.6,2023-09-09 11:25:05
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-10-13,2023-08-31,2023-09-30,4.2,2023-10-13 11:25:16
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-11-09,2023-09-30,2023-10-31,3.7,2023-11-09 11:25:09
PPIRM_鏈夎壊閲戝睘鏉愭枡绫?鍏ㄥ浗:褰撴湡鍚屾瘮澧為暱鐜?鏈?,2023-12-09,2023-10-31,2023-11-30,2.6,2023-12-09 11:25:04
