trading_date,commodity_id,rank,member_name,volume,volume_change
2024-01-02,CF,1,中信期货,62593,-75065
2024-01-02,CF,2,国泰君安,50206,-11980
2024-01-02,CF,3,东证期货,40396,-34580
2024-01-02,CF,4,华西期货,27844,-21284
2024-01-02,CF,5,长江期货,18989,4222
2024-01-02,CF,6,银河期货,17534,-11699
2024-01-02,CF,7,兴证期货,13722,-5352
2024-01-02,CF,8,海通期货,12790,-15769
2024-01-02,CF,9,华泰期货,11761,-12006
2024-01-02,CF,10,招商期货,11649,-29951
2024-01-02,CF,11,南华期货,11201,-16966
2024-01-02,CF,12,中粮期货,10622,-13129
2024-01-02,CF,13,浙商期货,10461,-13158
2024-01-02,CF,14,海证期货,10453,-3874
2024-01-02,CF,15,中辉期货,9830,-3170
2024-01-02,CF,16,国信期货,7766,-13830
2024-01-02,CF,17,永安期货,6987,-11355
2024-01-02,CF,18,宏源期货,6793,-7211
2024-01-02,CF,19,国联期货,6036,-451
2024-01-02,CF,20,东吴期货,5954,-2198
