date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,AG,1186100.0,SHFE,,,,
20240103,AG,1196881.0,SHFE,,,,
20240104,AG,1190225.0,SHFE,,,,
20240105,AG,1168017.0,SHFE,,,,0.0
20240108,AG,1152762.0,SHFE,,,,
20240109,AG,1133902.0,SHFE,,,,
20240110,AG,1117877.0,SHFE,,,,
20240111,AG,1114861.0,SHFE,,,,
20240112,AG,1102743.0,SHFE,,,,0.0
20240115,AG,1088700.0,SHFE,,,,
20240116,AG,1073954.0,SHFE,,,,
20240117,AG,1065164.0,SHFE,,,,
20240118,AG,960630.0,SHFE,,,,
20240119,AG,945785.0,SHFE,,,,0.0
20240122,AG,949145.0,SHFE,,,,
20240123,AG,935699.0,SHFE,,,,
20240124,AG,923746.0,SHFE,,,,
20240125,AG,922758.0,SHFE,,,,
20240126,AG,914166.0,SHFE,,,,0.0
20240129,AG,896847.0,SHFE,,,,
20240130,AG,918736.0,SHFE,,,,
20240131,AG,969934.0,SHFE,,,,
